"Name";"Company";"Country";"Nace_4d";"Size_class";"Date_Incorporation";"YearFirstAdoption";"Agegroup";"Quartile";"Nace_2d";"treat";"Group";"distance";"weights";"subclass";"LongIdentifier";"NoPatentsYearGUOtotal";"No_AI_PatentsYearGUOtotal";"Relatedness_GUOs";"RelatednessGUosandSubs";"CurrentYear";"first.treat";"SeqOwner";"id";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Type";"Relatedness_Assoc2";"Relatedness_Jacc2";"Relatedness_Prob2";"Relatedness_Cos2"
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f7";0;0;NA;NA;2006;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f8";0;0;NA;NA;2007;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f9";0;0;NA;NA;2008;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f10";0;0;NA;NA;2009;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f11";0;0;NA;NA;2010;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f12";0;0;NA;NA;2011;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f13";0;0;NA;NA;2012;0;1;1;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f14";3;0;NA;0,777777777777778;2013;0;1;1;0;0;0;0;"MNE";0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f15";4;0;NA;0,777777777777778;2014;0;1;1;0;0;0;0;"MNE";0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f16";4;0;NA;0,777777777777778;2015;0;1;1;0;0;0;0;"MNE";0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f17";7;0;NA;0,571428571428571;2016;0;1;1;0;1;0;1;"MNE";0;1;0;1
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f18";7;0;NA;0,571428571428571;2017;0;1;1;0;1;0;1;"MNE";0;1;0;1
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f19";8;0;NA;0,571428571428571;2018;0;1;1;0;1;0;1;"MNE";0;1;0;1
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f20";8;0;NA;0,571428571428571;2019;0;1;1;0;1;0;1;"MNE";0;1;0;1
"GUANGZHOU SEAGULL KITCHEN AND BATH PRODUCTS COMPANY LIMITED";"CN31649PC";"CN";2814;"Very large company";2003;"Control";"(2000,2005]";"Bottom";28;0;2014;5,41955314424051e-05;1;"1_1";"f7";0;0;NA;NA;2006;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"GUANGZHOU SEAGULL KITCHEN AND BATH PRODUCTS COMPANY LIMITED";"CN31649PC";"CN";2814;"Very large company";2003;"Control";"(2000,2005]";"Bottom";28;0;2014;5,41955314424051e-05;1;"1_1";"f8";0;0;NA;NA;2007;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"GUANGZHOU SEAGULL KITCHEN AND BATH PRODUCTS COMPANY LIMITED";"CN31649PC";"CN";2814;"Very large company";2003;"Control";"(2000,2005]";"Bottom";28;0;2014;5,41955314424051e-05;1;"1_1";"f9";1;0;NA;NA;2008;0;1;2;0;0;0;0;"MNE";0;0;0;0
